Model,Range,ROC_AUC_mean,ROC_AUC_sd,MCC_mean,MCC_sd
CASKnet,6-10,0.8299,0.065,0.1468,0.1587
CASKnet,11-15,0.8571,0.0286,0.4148,0.088
CASKnet,16-20,0.888,0.0156,0.5267,0.0951
CASKnet,21-25,0.9322,0.0186,0.664,0.0861
CASKnet,26-30,0.9697,0.0117,0.7836,0.0707
CASKnet,31-35,0.9923,0.0032,0.8995,0.0438
CASKnet,36-40,0.993,0.0031,0.8921,0.0327
CASKnet,41-45,0.9846,0.011,0.8658,0.0558
CASKnet,46-50,0.9933,0.0067,0.9197,0.0283
CASKnet,51-55,0.9831,0.0149,0.8999,0.0466
CASKnet,56-60,0.9937,0.0072,0.9205,0.0525
CASKnet,61-65,0.9982,0.0013,0.9423,0.0217
CASKnet,66-70,0.9933,0.0117,0.9536,0.0375
CASKnet,71-75,0.9965,0.0034,0.946,0.0377
CASKnet,76-80,0.9876,0.0091,0.9287,0.032
CASKnet,81-85,0.9963,0.0046,0.9355,0.0429
CASKnet,86-90,0.9957,0.0065,0.9681,0.0327
CASKnet,91-95,0.996,0.0027,0.944,0.0346
CASKnet,96-100,0.9864,0.0114,0.9003,0.0153
CASKnet,101-105,0.97,0.0173,0.8735,0.0375
CASKnet,106-110,0.9909,0.0046,0.915,0.0398
CNN,6-10,0.8224,0.0609,0.2104,0.1375
CNN,11-15,0.7958,0.0345,0.3275,0.085
CNN,16-20,0.8888,0.0191,0.5237,0.0897
CNN,21-25,0.8522,0.0414,0.5248,0.0804
CNN,26-30,0.9536,0.0074,0.7067,0.0342
CNN,31-35,0.9794,0.0072,0.8451,0.0291
CNN,36-40,0.9768,0.0111,0.8254,0.0503
CNN,41-45,0.9573,0.0071,0.7411,0.0444
CNN,46-50,0.9662,0.033,0.7878,0.1085
CNN,51-55,0.9599,0.0198,0.7793,0.1103
CNN,56-60,0.9744,0.0123,0.7808,0.0491
CNN,61-65,0.988,0.0108,0.8692,0.0564
CNN,66-70,0.9813,0.0119,0.8679,0.0451
CNN,71-75,0.9605,0.0159,0.8138,0.0617
CNN,76-80,0.9336,0.0295,0.7199,0.0655
CNN,81-85,0.9561,0.019,0.7654,0.065
CNN,86-90,0.9642,0.0162,0.8078,0.0197
CNN,91-95,0.9661,0.0099,0.8308,0.0408
CNN,96-100,0.9309,0.0294,0.7053,0.0508
CNN,101-105,0.9494,0.0233,0.7001,0.0433
CNN,106-110,0.9284,0.0276,0.6669,0.0894
ProtT5,6-10,0.6902,0.1243,-0.0284,0.0238
ProtT5,11-15,0.8227,0.0226,0.1931,0.1638
ProtT5,16-20,0.847,0.0249,0.4261,0.0356
ProtT5,21-25,0.8785,0.0084,0.5149,0.0673
ProtT5,26-30,0.945,0.0145,0.6977,0.0472
ProtT5,31-35,0.986,0.0055,0.8734,0.0221
ProtT5,36-40,0.9852,0.0072,0.8345,0.0653
ProtT5,41-45,0.9831,0.0069,0.8063,0.0422
ProtT5,46-50,0.9752,0.015,0.8189,0.0943
ProtT5,51-55,0.9732,0.0205,0.8269,0.0663
ProtT5,56-60,0.989,0.0068,0.8894,0.0315
ProtT5,61-65,0.9936,0.0017,0.8828,0.0519
ProtT5,66-70,0.9915,0.0066,0.9216,0.0194
ProtT5,71-75,0.9804,0.0147,0.909,0.0355
ProtT5,76-80,0.9791,0.0145,0.8455,0.0371
ProtT5,81-85,0.9875,0.0084,0.8846,0.0618
ProtT5,86-90,0.9913,0.0069,0.8942,0.0352
ProtT5,91-95,0.979,0.0071,0.8502,0.0411
ProtT5,96-100,0.9352,0.0195,0.7876,0.0633
ProtT5,101-105,0.9422,0.0193,0.794,0.0283
ProtT5,106-110,0.98,0.0162,0.8389,0.0649
Transformer,6-10,0.7696,0.151,0.4405,0.2878
Transformer,11-15,0.8413,0.0267,0.3069,0.0647
Transformer,16-20,0.8691,0.0305,0.4688,0.136
Transformer,21-25,0.8659,0.0304,0.4999,0.0349
Transformer,26-30,0.9379,0.0281,0.7361,0.0687
Transformer,31-35,0.9777,0.0019,0.8292,0.0353
Transformer,36-40,0.9799,0.0106,0.8211,0.0638
Transformer,41-45,0.9664,0.0158,0.768,0.0879
Transformer,46-50,0.9513,0.0194,0.7275,0.073
Transformer,51-55,0.9437,0.0199,0.7216,0.0667
Transformer,56-60,0.9741,0.0186,0.8062,0.05
Transformer,61-65,0.9873,0.0054,0.8484,0.0816
Transformer,66-70,0.9746,0.0116,0.8649,0.0568
Transformer,71-75,0.9562,0.0172,0.7247,0.077
Transformer,76-80,0.9623,0.0174,0.8162,0.0443
Transformer,81-85,0.9541,0.0174,0.7577,0.0572
Transformer,86-90,0.9707,0.015,0.8244,0.0707
Transformer,91-95,0.9742,0.0072,0.8685,0.0341
Transformer,96-100,0.9253,0.0343,0.736,0.0904
Transformer,101-105,0.9442,0.0236,0.7228,0.0966
Transformer,106-110,0.9413,0.0171,0.7719,0.0534
