Model,Range,Sensitivity_mean,Sensitivity_sd,Specificity_mean,Specificity_sd
CASKnet,6-10,0.9141,0.0498,0.2733,0.1971
CASKnet,11-15,0.8523,0.0225,0.6149,0.0737
CASKnet,16-20,0.8589,0.0285,0.6823,0.1193
CASKnet,21-25,0.8915,0.0208,0.7936,0.099
CASKnet,26-30,0.9162,0.0296,0.8737,0.0761
CASKnet,31-35,0.943,0.0292,0.9549,0.0228
CASKnet,36-40,0.9205,0.0371,0.9667,0.0066
CASKnet,41-45,0.8883,0.0353,0.9655,0.032
CASKnet,46-50,0.9386,0.0418,0.9776,0.0211
CASKnet,51-55,0.9125,0.0567,0.9749,0.0129
CASKnet,56-60,0.9531,0.0278,0.9762,0.0298
CASKnet,61-65,0.9719,0.0146,0.9872,0.0157
CASKnet,66-70,0.9709,0.0387,0.9866,0.0111
CASKnet,71-75,0.9717,0.0227,0.975,0.0234
CASKnet,76-80,0.9674,0.0348,0.9592,0.0154
CASKnet,81-85,0.9775,0.0283,0.9525,0.0623
CASKnet,86-90,0.9699,0.027,0.9957,0.0087
CASKnet,91-95,0.945,0.0362,0.9917,0.0102
CASKnet,96-100,0.9391,0.0255,0.9638,0.016
CASKnet,101-105,0.9048,0.03,0.9613,0.0294
CASKnet,106-110,0.9277,0.0535,0.9811,0.0109
CNN,6-10,0.953,0.0362,0.2238,0.116
CNN,11-15,0.9228,0.0225,0.3669,0.0879
CNN,16-20,0.9162,0.0164,0.573,0.129
CNN,21-25,0.8905,0.0393,0.6203,0.1255
CNN,26-30,0.9353,0.0427,0.7454,0.092
CNN,31-35,0.9218,0.0203,0.9242,0.0278
CNN,36-40,0.8715,0.016,0.9456,0.0293
CNN,41-45,0.7913,0.0883,0.9306,0.0299
CNN,46-50,0.8942,0.1079,0.9162,0.0248
CNN,51-55,0.8749,0.0458,0.9042,0.068
CNN,56-60,0.9096,0.0375,0.8771,0.0615
CNN,61-65,0.9419,0.0245,0.9536,0.0507
CNN,66-70,0.9125,0.0389,0.9601,0.0252
CNN,71-75,0.9334,0.0149,0.8762,0.0752
CNN,76-80,0.8508,0.0419,0.8747,0.0426
CNN,81-85,0.9311,0.0095,0.8217,0.0863
CNN,86-90,0.8576,0.0506,0.9408,0.0358
CNN,91-95,0.8629,0.0346,0.9556,0.0227
CNN,96-100,0.7238,0.0337,0.9471,0.0254
CNN,101-105,0.756,0.062,0.9322,0.0156
CNN,106-110,0.674,0.096,0.9499,0.0259
ProtT5,6-10,0.9825,0.0144,0.0,0.0
ProtT5,11-15,0.9801,0.0222,0.1224,0.0799
ProtT5,16-20,0.9515,0.0324,0.3756,0.0673
ProtT5,21-25,0.8672,0.0475,0.6454,0.1007
ProtT5,26-30,0.8753,0.0412,0.8299,0.0593
ProtT5,31-35,0.9359,0.0263,0.9405,0.0143
ProtT5,36-40,0.8524,0.0545,0.9659,0.0226
ProtT5,41-45,0.8347,0.026,0.9564,0.0148
ProtT5,46-50,0.9481,0.0488,0.9084,0.0658
ProtT5,51-55,0.9153,0.0591,0.9135,0.0354
ProtT5,56-60,0.9476,0.0315,0.9439,0.0341
ProtT5,61-65,0.9587,0.0255,0.9372,0.032
ProtT5,66-70,0.9567,0.0214,0.9682,0.0288
ProtT5,71-75,0.9767,0.0145,0.9265,0.034
ProtT5,76-80,0.9677,0.0104,0.8665,0.0378
ProtT5,81-85,0.9727,0.0283,0.9007,0.062
ProtT5,86-90,0.9598,0.0281,0.9386,0.0341
ProtT5,91-95,0.927,0.0137,0.926,0.0431
ProtT5,96-100,0.8573,0.0263,0.9297,0.0433
ProtT5,101-105,0.8727,0.0158,0.9287,0.0231
ProtT5,106-110,0.9233,0.0788,0.9355,0.0225
Transformer,6-10,0.9656,0.0422,0.3619,0.2063
Transformer,11-15,0.9366,0.0165,0.3185,0.0786
Transformer,16-20,0.9178,0.0491,0.4927,0.0464
Transformer,21-25,0.9178,0.0321,0.5377,0.055
Transformer,26-30,0.895,0.0449,0.8434,0.0588
Transformer,31-35,0.9046,0.0334,0.9247,0.0145
Transformer,36-40,0.8425,0.0453,0.9628,0.0243
Transformer,41-45,0.7866,0.0832,0.9563,0.0187
Transformer,46-50,0.8412,0.0788,0.9037,0.0413
Transformer,51-55,0.8575,0.0245,0.8656,0.0644
Transformer,56-60,0.9081,0.037,0.9039,0.0375
Transformer,61-65,0.9445,0.0391,0.9239,0.0528
Transformer,66-70,0.9271,0.0176,0.9399,0.0416
Transformer,71-75,0.905,0.0381,0.8137,0.0415
Transformer,76-80,0.928,0.019,0.8875,0.0268
Transformer,81-85,0.9146,0.0154,0.8392,0.0513
Transformer,86-90,0.8659,0.0577,0.9509,0.0331
Transformer,91-95,0.9118,0.0311,0.9504,0.0342
Transformer,96-100,0.7515,0.0719,0.9522,0.0227
Transformer,101-105,0.8071,0.0888,0.9194,0.035
Transformer,106-110,0.7953,0.0704,0.9575,0.0112
