human gut	p__Firmicutes_A	640113
human skin	p__Actinobacteriota	32393
human gut	p__Bacteroidota	191433
human mouth	p__Actinobacteriota	20275
human gut	p__Proteobacteria	43673
human skin	Other	1310
human skin	p__Proteobacteria	18598
human saliva	p__Actinobacteriota	16508
human mouth	p__Firmicutes_A	6641
human gut	p__Actinobacteriota	50502
human gut	Other	27050
human gut	p__Verrucomicrobiota	12633
human mouth	Other	8353
human saliva	Other	4340
human gut	p__Firmicutes	74726
human mouth	p__Bacteroidota	15080
human saliva	p__Bacteroidota	14097
human gut	p__Firmicutes_C	24392
human digestive tract	p__Proteobacteria	822
human mouth	p__Proteobacteria	7625
human respiratory tract	p__Proteobacteria	3199
human saliva	p__Proteobacteria	5267
human mouth	p__Firmicutes_C	6678
human mouth	p__Firmicutes	9745
human saliva	p__Firmicutes	14318
human digestive tract	p__Firmicutes_C	1506
human saliva	p__Firmicutes_C	5412
human skin	p__Firmicutes_C	1145
human respiratory tract	p__Firmicutes	8818
human skin	p__Firmicutes_A	6733
human skin	p__Firmicutes	9849
human digestive tract	p__Firmicutes_A	938
human urogenital tract	p__Actinobacteriota	717
human digestive tract	p__Bacteroidota	4291
human respiratory tract	p__Bacteroidota	9721
human respiratory tract	p__Actinobacteriota	5698
human respiratory tract	Other	2678
human digestive tract	p__Actinobacteriota	1503
human skin	p__Bacteroidota	5145
human respiratory tract	p__Firmicutes_C	3157
human associated	p__Proteobacteria	213
human respiratory tract	p__Firmicutes_A	3960
human saliva	p__Firmicutes_A	5825
human digestive tract	p__Firmicutes	2999
human digestive tract	Other	673
human skin	p__Verrucomicrobiota	100
human urogenital tract	p__Firmicutes	428
human urogenital tract	Other	130
human associated	p__Bacteroidota	275
human urogenital tract	p__Firmicutes_A	247
human associated	p__Actinobacteriota	368
human urogenital tract	p__Bacteroidota	672
human digestive tract	p__Verrucomicrobiota	2
human mouth	p__Verrucomicrobiota	19
human respiratory tract	p__Verrucomicrobiota	5
human associated	p__Firmicutes_A	144
human urogenital tract	p__Firmicutes_C	120
human urogenital tract	p__Verrucomicrobiota	3
human urogenital tract	p__Proteobacteria	343
human associated	p__Firmicutes_C	82
human associated	p__Firmicutes	384
human associated	Other	16
human saliva	p__Verrucomicrobiota	8
