Disease,disease_count,disease_secret,disease_prop,ctr_count,ctr_secret,ctr_prop
Graves' Disease,274,19,0.069343066,2562341,134501,0.052491452
ST-elevation myocardial infarction,3054,205,0.067125082,2562341,134501,0.052491452
Hypertension,1216,79,0.064967105,2562341,134501,0.052491452
Subarachnoid haemorrhage; alcoholism,174,11,0.063218391,2562341,134501,0.052491452
cCD,992,62,0.0625,2562341,134501,0.052491452
stunted growth,9236,545,0.059008229,2562341,134501,0.052491452
Cardiac arrest; cardiomyopathy,5704,333,0.058380084,2562341,134501,0.052491452
Subarachnoid haemorrhage,4757,277,0.058229977,2562341,134501,0.052491452
CDI,119681,6862,0.057335751,2562341,134501,0.052491452
IGT,24958,1426,0.057135988,2562341,134501,0.052491452
Nonalcoholic fatty liver disease,33341,1895,0.056836928,2562341,134501,0.052491452
hematopoietic stem cell recipients with CDAD,6126,346,0.056480575,2562341,134501,0.052491452
Asymptomatically colonized admitted for Gangrene,626,35,0.055910543,2562341,134501,0.052491452
Chest infection,10505,584,0.055592575,2562341,134501,0.052491452
Multiple trauma,15429,857,0.055544753,2562341,134501,0.052491452
iCD,5903,327,0.055395562,2562341,134501,0.052491452
Aortic valve repair; Marfan syndrome,3643,201,0.055174307,2562341,134501,0.052491452
Kawasaki disease,3958,217,0.05482567,2562341,134501,0.052491452
HIV,16255,889,0.054690864,2562341,134501,0.052491452
atherosclerotic cardiovascular disease,70527,3845,0.054518128,2562341,134501,0.052491452
UC,149618,8144,0.054431953,2562341,134501,0.052491452
CRC,297479,16183,0.054400479,2562341,134501,0.052491452
Insertion of left ventricular assist device,3771,205,0.054362238,2562341,134501,0.052491452
NAA,45216,2455,0.05429494,2562341,134501,0.052491452
CD,94706,5132,0.054188753,2562341,134501,0.052491452
T2D,69817,3763,0.053898048,2562341,134501,0.052491452
ADA,20404,1099,0.053861988,2562341,134501,0.052491452
Glandular mucosa,781,42,0.053777209,2562341,134501,0.052491452
gestational diabetes mellitus,8159,437,0.053560485,2562341,134501,0.052491452
Oesophagectomy,1774,95,0.053551297,2562341,134501,0.052491452
Non-alcoholic fatty liver disease,17619,940,0.053351496,2562341,134501,0.052491452
Subdural haemorrhage,24887,1327,0.053321011,2562341,134501,0.052491452
short bowel syndrome,1825,97,0.053150685,2562341,134501,0.052491452
breast cancer,25050,1330,0.053093812,2562341,134501,0.052491452
Mycoplasma pneumoniae pneumonia,43395,2289,0.052748012,2562341,134501,0.052491452
atrial fibrillation,23912,1260,0.052693208,2562341,134501,0.052491452
Intracerebral haematoma,1653,87,0.052631579,2562341,134501,0.052491452
Periodontitis,70919,3726,0.052538812,2562341,134501,0.052491452
Cholera,96044,5039,0.052465537,2562341,134501,0.052491452
Subdural haemorrhage; hepatitis C; alcoholism,3514,184,0.052361981,2562341,134501,0.052491452
T1D,35528,1859,0.052324927,2562341,134501,0.052491452
Myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS),20796,1083,0.052077323,2562341,134501,0.052491452
liver cirrhosis,19236,1000,0.05198586,2562341,134501,0.052491452
Schizophrenia,41214,2141,0.051948367,2562341,134501,0.052491452
ankylosing spondylitis,104137,5381,0.051672316,2562341,134501,0.052491452
RA,186953,9640,0.051563762,2562341,134501,0.052491452
overweight or obese,11414,578,0.050639565,2562341,134501,0.052491452
Gastroesophageal reflux disease,3259,165,0.050629027,2562341,134501,0.052491452
Tuberculosis,12132,613,0.05052753,2562341,134501,0.052491452
Behcet's disease,5996,302,0.050366911,2562341,134501,0.052491452
urinary tract infection,2455,123,0.050101833,2562341,134501,0.052491452
psoriasis,2375,118,0.049684211,2562341,134501,0.052491452
cystic fibrosis,97363,4834,0.049649251,2562341,134501,0.052491452
dental caries free,16973,833,0.049077947,2562341,134501,0.052491452
dental caries,40767,1981,0.048593225,2562341,134501,0.052491452
Alcoholic liver disease,9296,451,0.048515491,2562341,134501,0.052491452
Subcapsular haematoma; liver cancer,894,43,0.048098434,2562341,134501,0.052491452
Lung transplant,420,20,0.047619048,2562341,134501,0.052491452
Diarrhea,23489,1109,0.047213589,2562341,134501,0.052491452
VKH,13819,648,0.04689196,2562341,134501,0.052491452
"C. diffile infection, admitted to hopsital for abdominal hernia",520,24,0.046153846,2562341,134501,0.052491452
NEC_timeseries,5976,272,0.045515395,2562341,134501,0.052491452
Anaemia; end-stage renal disease,5271,238,0.045152722,2562341,134501,0.052491452
C. diffile infection admitted for cellulitis,999,45,0.045045045,2562341,134501,0.052491452
acute_diarrhoea,3853,168,0.043602388,2562341,134501,0.052491452
hospitalized patient with no specific diagnosis,82584,3507,0.042465853,2562341,134501,0.052491452
C. diffile infection admitted for pneumonia,4638,191,0.041181544,2562341,134501,0.052491452
"Asymptomatically colonized with c. difficile, admitted to the hospital for osteoarthritis",1026,42,0.040935673,2562341,134501,0.052491452
ATD,21723,886,0.040786263,2562341,134501,0.052491452
Subarachnoid haemorrhage; alcoholic liver disease,831,33,0.039711191,2562341,134501,0.052491452
DOCK8-deficiency,30834,1155,0.03745865,2562341,134501,0.052491452
Drug-induced hepatitis,697,25,0.035868006,2562341,134501,0.052491452
Asymptomatically colonized admitted for pneumonia,376,13,0.034574468,2562341,134501,0.052491452
Asymptomatically colonized admitted for cellulitis,203,7,0.034482759,2562341,134501,0.052491452
Barrett's esophagus,644,22,0.034161491,2562341,134501,0.052491452
IC,210,7,0.033333333,2562341,134501,0.052491452
Aortic aneurysm repair,62,2,0.032258065,2562341,134501,0.052491452
"C. diffile infection, admitted to hopsital for uretral stone",501,15,0.02994012,2562341,134501,0.052491452
Recessive dystrophic epidermolysis bullosa,1164,26,0.02233677,2562341,134501,0.052491452
