Variant,Fold,Accuracy,Sensitivity,Specificity,ROC_AUC,PR_AUC,F1,MCC
w/o Attention,1,0.9236683141131247,0.9196337741607324,0.9284009546539379,0.9795909943988133,0.9827064798887032,0.9286081150487931,0.8468051258601562
w/o Attention,2,0.9242174629324547,0.9090909090909091,0.9409722222222222,0.9828807713146795,0.9849034271334097,0.9265175718849838,0.84901028390315
w/o Attention,3,0.9362987369577156,0.946058091286307,0.9253208868144691,0.979282162518096,0.9810659996872055,0.9402061855670103,0.8721330467595728
w/o Attention,4,0.9313563975837452,0.9364102564102564,0.925531914893617,0.9849887858398497,0.9878608769622542,0.9359302921578679,0.8620101022785861
w/o Attention,5,0.9373626373626374,0.951063829787234,0.9227272727272727,0.9861677949709865,0.9864295893231333,0.9400630914826499,0.8747454679228622
w/o KAN,1,0.9154310818231741,0.8952187182095626,0.9391408114558473,0.9774714295772767,0.980997250368347,0.9195402298850576,0.8319211298752179
w/o KAN,2,0.9302580999450851,0.9070010449320794,0.9560185185185185,0.9816961521343706,0.9839072129718104,0.9318303811057433,0.8619038783539663
w/o KAN,3,0.942339373970346,0.9356846473029046,0.9498249708284714,0.9832772094104204,0.9834102706688675,0.9449973808276584,0.8846149064558044
w/o KAN,4,0.942339373970346,0.9384615384615385,0.9468085106382979,0.9867012184033461,0.9886302242126367,0.9457364341085271,0.8843538448653253
w/o KAN,5,0.9461538461538461,0.9468085106382979,0.9454545454545454,0.9872721228239845,0.987795455801093,0.9478168264110757,0.892200500707207
w/o Multi-scale,1,0.9258649093904449,0.9186164801627671,0.9343675417661098,0.9797044991587295,0.9836338503255251,0.9304482225656879,0.8514350256907195
w/o Multi-scale,2,0.9258649093904449,0.9049111807732497,0.9490740740740741,0.9824115194086458,0.9846610800417506,0.9276914836636314,0.8528709610155338
w/o Multi-scale,3,0.9362987369577156,0.9356846473029046,0.9369894982497082,0.9825684986225227,0.984707462434305,0.9395833333333334,0.8722561445541572
w/o Multi-scale,4,0.942339373970346,0.9415384615384615,0.9432624113475178,0.9864763290295205,0.9887879889576765,0.9459041731066461,0.8842221933781086
w/o Multi-scale,5,0.951098901098901,0.9478723404255319,0.9545454545454546,0.98917250967118,0.9900166411953244,0.9524318546231962,0.9021675305435211
w/o CNN,1,0.9308072487644151,0.9226856561546287,0.9403341288782816,0.9816492545104486,0.9849907214560061,0.9350515463917527,0.8614035957193509
w/o CNN,2,0.9313563975837452,0.922675026123302,0.9409722222222222,0.9839438445760283,0.9860146743435688,0.9338974087784242,0.8628076473776384
w/o CNN,3,0.9390444810543658,0.9356846473029046,0.9428238039673279,0.9817690050693096,0.9827884895072462,0.9420365535248042,0.8778594465831854
w/o CNN,4,0.9368478857770456,0.9384615384615385,0.9349881796690307,0.9865866521185669,0.9891126485526014,0.9408740359897172,0.8731216380373046
w/o CNN,5,0.9373626373626374,0.9234042553191489,0.9522727272727273,0.98860251450677,0.9895193560470112,0.9383783783783783,0.8752009992957495
CASKnet (full),1,0.9407,0.9579,0.9218,0.9871,0.9889,0.9463,0.8818
CASKnet (full),2,0.9313,0.9497,0.911,0.9826,0.9851,0.9364,0.8622
CASKnet (full),3,0.934,0.9434,0.9235,0.9843,0.9866,0.9386,0.8672
CASKnet (full),4,0.9209,0.9386,0.9014,0.9797,0.9826,0.9239,0.8401
CASKnet (full),5,0.9347,0.9483,0.9195,0.9868,0.9888,0.939,0.8688
